"","id","famrel_1997","sex","bmonth","byear","praised","prelpref","psraised","psrelpref","agemon_1997","ageyear_1997","samplesype","race","famrel_1998","agemon_1998","ageyear_1998","famrel_1999","agemon_1999","ageyear_1999","famrel_2000","attend_2000","agemon_2000","ageyear_2000","attend_2001","agemon_2001","ageyear_2001","attend_2002","values_2002","obey_2002","decide_2002","todo_2002","pray_2002","agemon_2002","ageyear_2002","agemon_2003","ageyear_2003","attend_2003","agemon_2004","ageyear_2004","attend_2004","agemon_2005","ageyear_2005","relpref_2005","attend_2005","values_2005","obey_2005","decide_2005","todo_2005","pray_2005","agemon_2006","ageyear_2006","attend_2006","agemon_2007","ageyear_2007","attend_2007","agemon_2008","ageyear_2008","relpref_2008","attend_2008","values_2008","obey_2008","decide_2008","todo_2008","pray_2008","agemon_2009","ageyear_2009","attend_2009","agemon_2010","ageyear_2010","attend_2010","attcat_2000","attcat_2001","attcat_2002","attcat_2003","attcat_2004","attcat_2005","attcat_2006","attcat_2007","attcat_2008","attcat_2009","attcat_2010","transcat_2001","transcat_2002","transcat_2003","transcat_2004","transcat_2005","transcat_2006","transcat_2007","transcat_2008","transcat_2009","transcat_2010"
"44",45,0,2,2,1984,25,25,-4,-4,160,13,1,1,-4,180,15,6,192,16,-4,3,206,17,1,216,18,1,0,1,1,0,1,226,18,240,20,1,252,21,5,263,21,27,1,0,NA,1,1,0,274,22,1,284,23,2,296,24,2,1,0,1,1,1,1,308,25,2,321,26,1,"2","1","1","1","2","1","1","1","1","1","1","21","11","11","12","21","11","11","11","11","11"
"46",47,1,2,9,1982,2,2,-4,-4,176,14,1,1,-4,195,16,1,207,17,-4,5,220,18,2,233,19,4,0,0,0,1,0,243,20,257,21,2,266,22,3,280,23,1,2,0,0,1,0,0,292,24,2,302,25,3,315,26,1,2,0,0,0,0,0,326,27,1,339,28,1,"2","1","2","1","2","1","1","2","1","1","1","21","12","21","12","21","11","12","21","11","11"
"47",48,1,2,7,1983,2,2,-4,-4,166,13,1,1,-4,185,15,1,197,16,-4,3,211,17,3,223,18,3,0,0,0,1,0,233,19,245,20,1,259,21,2,268,22,11,5,0,0,1,1,0,280,23,3,292,24,4,307,25,8,3,1,0,1,1,0,317,26,2,329,27,2,"2","2","2","1","1","2","2","2","2","1","1","22","22","21","11","12","22","22","22","21","11"
"48",49,0,2,12,1982,2,2,-1,-1,172,14,1,1,0,191,15,2,205,17,0,2,217,18,1,230,19,1,0,0,0,1,0,242,20,251,20,1,264,21,2,276,22,27,1,0,NA,1,1,0,287,23,1,300,24,2,311,25,12,2,1,0,1,1,0,322,26,2,335,27,2,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"51",52,0,1,12,1983,1,1,-4,-4,162,13,1,1,2,178,14,1,192,16,0,1,207,17,2,216,18,3,1,0,1,1,1,227,18,240,20,2,251,20,2,265,22,2,4,1,0,1,0,1,275,22,3,286,23,2,299,24,12,2,0,0,1,0,1,311,25,3,323,26,1,"1","1","2","1","1","2","2","1","1","2","1","11","12","21","11","12","22","21","11","12","21"
"52",53,5,2,4,1984,2,2,2,2,160,13,1,1,5,175,14,2,188,15,0,2,201,16,3,211,17,2,0,0,1,1,1,224,18,235,19,2,248,20,1,261,21,2,2,0,0,1,1,1,271,22,1,283,23,2,296,24,2,1,0,0,1,NA,1,306,25,1,319,26,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"53",54,0,2,12,1984,21,21,-4,-4,149,12,1,1,-4,166,13,3,180,15,0,1,193,16,1,206,17,2,1,0,0,1,0,217,18,228,19,2,242,20,3,252,21,27,1,0,0,0,0,0,263,21,2,275,22,5,286,23,17,2,NA,NA,1,NA,0,300,24,3,311,25,2,"1","1","1","1","2","1","1","2","1","2","1","11","11","11","12","21","11","12","21","12","21"
"54",55,-4,2,2,1981,1,1,1,1,195,16,1,2,-4,217,18,-4,226,18,-4,1,239,19,2,252,21,2,0,0,1,0,0,263,21,275,22,2,285,23,4,297,24,1,1,0,0,1,1,0,309,25,1,321,26,6,332,27,1,3,0,0,1,1,0,344,28,3,358,29,2,"1","1","1","1","2","1","1","3","2","2","1","11","11","11","12","21","11","13","32","22","21"
"55",56,1,2,2,1982,1,1,1,1,182,15,1,4,1,201,16,1,215,17,0,5,229,19,3,241,20,3,0,0,1,1,0,250,20,262,21,2,273,22,3,286,23,1,3,0,0,1,1,0,299,24,3,309,25,2,321,26,1,3,0,0,0,1,0,333,27,2,345,28,2,"2","2","2","1","2","2","2","1","2","1","1","22","22","21","12","22","22","21","12","21","11"
"56",57,1,1,12,1982,1,1,1,1,183,15,1,1,3,191,15,7,204,17,7,7,218,18,7,227,18,3,1,1,1,0,1,239,19,251,20,5,263,21,6,275,22,1,5,1,1,1,1,1,286,23,2,300,25,8,310,25,1,3,1,0,1,1,1,322,26,6,335,27,2,"3","3","2","2","3","2","1","3","2","3","1","33","32","22","23","32","21","13","32","23","31"
"58",59,-4,2,4,1981,13,13,2,13,191,15,1,1,-4,211,17,-4,224,18,-4,6,237,19,6,247,20,6,1,0,1,1,1,259,21,271,22,6,284,23,2,297,24,32,4,1,1,1,1,0,307,25,4,318,26,2,330,27,32,3,1,0,1,1,0,342,28,1,355,29,3,"3","3","3","3","1","2","2","1","2","1","2","33","33","33","31","12","22","21","12","21","12"
"59",60,1,1,1,1984,2,2,1,1,157,13,1,4,2,182,15,1,190,15,1,6,202,16,6,214,17,3,0,0,1,1,0,227,18,238,19,5,252,21,4,263,21,2,4,1,1,1,1,0,275,22,4,288,24,3,297,24,2,3,1,0,1,1,0,312,26,4,328,27,1,"3","3","2","2","2","2","2","2","2","2","1","33","32","22","22","22","22","22","22","22","21"
"60",61,1,2,5,1983,1,13,-4,-4,165,13,1,1,3,186,15,1,199,16,0,1,213,17,1,223,18,1,1,1,1,1,0,236,19,247,20,1,264,21,2,272,22,1,3,1,1,1,1,1,283,23,2,294,24,4,306,25,8,1,1,1,1,1,0,317,26,2,330,27,2,"1","1","1","1","1","2","1","2","1","1","1","11","11","11","11","12","21","12","21","11","11"
"61",62,-4,1,3,1980,2,2,3,3,204,17,1,1,-4,225,18,-4,237,19,-4,2,250,20,1,261,21,1,0,1,1,1,0,273,22,285,23,1,297,24,3,309,25,12,1,0,NA,1,NA,0,320,26,1,331,27,1,343,28,12,1,0,0,1,1,0,355,29,2,369,30,1,"1","1","1","1","2","1","1","1","1","1","1","11","11","11","12","21","11","11","11","11","11"
"62",63,1,2,10,1984,2,2,3,3,149,12,1,1,1,170,14,1,182,15,1,6,195,16,1,206,17,4,1,1,1,1,0,218,18,230,19,3,242,20,3,254,21,2,3,1,1,1,1,0,265,22,2,277,23,3,290,24,2,2,0,1,1,1,1,299,24,3,313,26,3,"3","1","2","2","2","2","1","2","1","2","2","31","12","22","22","22","21","12","21","12","22"
"66",67,-4,1,11,1980,13,13,-4,-4,199,16,1,1,-4,216,17,-4,230,19,-4,2,243,20,1,252,21,2,0,0,1,1,0,265,22,277,23,1,292,24,1,307,25,27,1,0,NA,NA,1,0,317,26,4,329,27,2,337,28,1,1,1,1,1,1,1,346,28,6,362,30,2,"1","1","1","1","1","1","2","1","1","3","1","11","11","11","11","11","12","21","11","13","31"
"67",68,-4,1,1,1981,13,13,-4,-4,196,16,1,1,-4,214,17,-4,228,18,-4,2,241,20,2,250,20,8,0,0,0,0,0,264,21,280,23,6,290,24,3,298,24,2,6,0,1,1,0,1,309,25,6,323,26,2,335,27,34,6,1,1,1,1,1,344,28,8,358,29,8,"1","1","3","3","2","3","3","1","3","3","3","11","13","33","32","23","33","31","13","33","33"
"68",69,-4,2,7,1981,13,13,13,13,189,15,1,1,-4,208,17,-4,221,18,-4,7,235,19,7,245,20,6,1,0,1,1,1,258,21,268,22,7,283,23,2,294,24,32,7,0,1,1,1,1,308,25,6,315,26,7,329,27,32,6,0,1,1,1,1,340,28,6,353,29,6,"3","3","3","3","1","3","3","3","3","3","3","33","33","33","31","13","33","33","33","33","33"
"69",70,1,1,8,1982,13,13,13,13,178,14,1,1,5,195,16,2,208,17,1,6,222,18,6,233,19,6,1,1,1,1,1,243,20,257,21,6,270,22,6,280,23,32,5,0,1,1,1,0,291,24,4,302,25,4,315,26,32,2,1,0,1,1,0,326,27,4,341,28,3,"3","3","3","3","3","2","2","2","1","2","2","33","33","33","33","32","22","22","21","12","22"
"70",71,-4,1,1,1980,6,1,-4,-4,205,17,1,1,-4,232,19,-4,243,20,-4,1,252,21,1,264,21,1,0,0,1,1,1,276,22,286,23,1,303,25,2,313,26,1,2,1,0,1,1,0,324,27,1,334,27,1,346,28,1,1,0,0,0,1,0,358,29,1,370,30,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"74",75,0,1,1,1982,-4,-4,-4,-4,185,15,1,4,0,204,17,0,214,17,0,1,228,18,1,239,19,1,1,0,0,0,0,250,20,262,21,1,276,22,1,286,23,27,1,0,0,0,0,0,298,24,1,309,25,6,324,26,12,6,1,1,0,1,1,333,27,6,346,28,6,"1","1","1","1","1","1","1","3","3","3","3","11","11","11","11","11","11","13","33","33","33"
"75",76,0,1,1,1982,-4,-4,-4,-4,185,15,1,4,0,204,17,0,214,17,0,1,228,18,1,239,19,1,0,0,0,0,0,251,20,268,22,1,276,22,1,287,23,27,1,0,NA,0,0,0,298,24,1,309,25,1,324,26,26,1,0,0,0,0,0,336,28,1,346,28,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"77",78,-4,2,7,1981,2,2,-4,-4,194,16,1,4,-4,209,17,-4,220,18,-4,1,233,19,1,246,20,1,0,0,1,1,0,257,21,268,22,1,281,23,2,292,24,2,1,1,NA,1,1,0,303,25,1,315,26,1,327,27,2,1,1,0,1,1,0,341,28,1,352,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"78",79,1,1,12,1983,1,1,-4,-4,161,13,1,2,0,180,14,0,191,15,0,4,204,16,1,217,18,1,1,1,1,0,1,229,19,240,20,1,252,21,1,263,21,1,1,0,0,1,0,0,275,22,1,286,23,1,302,25,1,1,0,0,0,0,0,309,25,1,323,26,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"79",80,-4,1,6,1981,2,2,-4,-4,191,15,1,1,-4,213,17,-4,223,18,-4,2,238,19,1,248,20,1,0,1,1,0,0,257,21,274,22,1,282,23,1,293,24,27,1,NA,NA,1,1,1,305,25,1,316,26,1,328,27,24,2,0,NA,1,1,0,339,28,2,353,29,1,"1","1","1","1","1","1","1","1","1","1","1","11","11","11","11","11","11","11","11","11","11"
"82",83,-4,1,9,1981,1,1,-4,-4,191,15,1,2,-4,208,17,-4,220,18,-4,3,231,19,4,244,20,5,1,1,0,1,1,254,21,266,22,3,283,23,1,291,24,1,1,1,1,1,1,1,302,25,2,314,26,2,325,27,1,2,0,0,1,1,0,336,28,2,351,29,1,"2","2","2","2","1","1","1","1","1","1","1","22","22","22","21","11","11","11","11","11","11"
"84",85,0,1,2,1984,13,13,-4,-4,159,13,1,4,0,180,15,0,190,15,0,2,203,16,1,215,17,4,0,NA,NA,0,0,226,18,241,20,1,251,20,1,264,22,13,1,0,0,1,1,0,272,22,1,285,23,1,296,24,27,1,0,0,0,1,NA,307,25,2,323,26,1,"1","1","2","1","1","1","1","1","1","1","1","11","12","21","11","11","11","11","11","11","11"
"85",86,-4,2,10,1980,1,1,-4,-4,198,16,1,4,-4,222,18,-4,229,19,-4,1,243,20,4,254,21,1,NA,NA,NA,NA,NA,265,22,277,23,1,289,24,1,301,25,25,1,0,0,0,0,0,312,26,1,329,27,1,336,27,1,1,0,0,0,0,0,348,28,1,361,30,1,"1","2","1","1","1","1","1","1","1","1","1","12","21","11","11","11","11","11","11","11","11"
"88",89,-4,1,11,1981,-4,-4,-4,-4,185,15,1,4,-4,204,16,-4,216,17,-4,6,228,18,5,244,20,3,0,0,0,0,0,252,21,266,22,2,277,23,1,289,24,26,1,0,0,0,0,0,300,24,1,312,25,1,323,26,26,1,0,0,0,0,0,334,27,1,347,28,1,"3","2","2","1","1","1","1","1","1","1","1","32","22","21","11","11","11","11","11","11","11"
"89",90,-4,1,11,1981,1,1,1,1,188,15,1,2,-4,209,17,-4,216,18,-4,2,228,19,2,243,20,3,0,NA,1,1,0,253,21,264,21,3,277,23,2,288,24,1,2,1,0,1,0,0,300,24,2,311,25,2,323,26,1,2,1,1,1,1,0,335,27,2,347,28,2,"1","1","2","2","1","1","1","1","1","1","1","11","12","22","21","11","11","11","11","11","11"
"90",91,3,2,9,1982,1,1,1,1,178,14,1,2,2,199,16,1,206,17,1,4,220,18,2,233,19,4,1,0,1,0,0,243,20,254,21,2,267,22,3,278,23,1,3,1,0,1,1,0,290,24,2,302,25,2,314,26,1,4,1,0,0,1,0,326,27,2,338,28,1,"2","1","2","1","2","2","1","1","2","1","1","21","12","21","12","22","21","11","12","21","11"
"91",92,1,1,4,1983,21,21,21,21,168,14,1,4,0,187,15,0,199,16,0,1,213,17,1,224,18,1,0,1,0,0,0,236,19,248,20,1,259,21,2,271,22,21,2,1,1,0,1,0,282,23,2,294,24,4,307,25,21,2,NA,1,1,1,0,318,26,2,332,27,2,"1","1","1","1","1","1","1","2","1","1","1","11","11","11","11","11","11","12","21","11","11"
"96",97,-4,1,6,1980,1,1,1,1,202,16,1,2,-4,221,18,-4,233,19,-4,1,246,20,1,258,21,2,0,0,0,0,0,269,22,280,23,1,298,24,3,310,25,13,6,0,1,1,1,1,322,26,6,333,27,6,344,28,12,6,1,0,1,1,0,354,29,6,367,30,1,"1","1","1","1","2","3","3","3","3","3","1","11","11","11","12","23","33","33","33","33","31"
"99",100,-4,2,1,1981,1,-2,-4,-4,195,16,1,1,-4,214,17,-4,227,18,-4,2,238,19,2,251,20,1,0,0,1,1,0,265,22,276,22,1,286,23,2,298,24,1,1,0,0,1,1,0,309,25,2,323,26,2,334,27,1,2,1,0,1,1,1,345,28,4,359,29,2,"1","1","1","1","1","1","1","1","1","2","1","11","11","11","11","11","11","11","11","12","21"
"100",101,-4,2,7,1981,2,2,-4,-4,200,16,1,1,-4,211,17,-4,222,18,-4,7,232,19,3,249,20,4,0,1,1,1,1,259,21,271,22,5,282,23,4,294,24,2,2,0,0,NA,1,1,305,25,5,316,26,6,327,27,2,6,1,1,1,1,1,342,28,5,358,29,2,"3","2","2","2","2","1","2","3","3","2","1","32","22","22","22","21","12","23","33","32","21"
"103",104,-4,2,11,1980,1,1,1,1,196,16,1,4,-4,218,18,-4,230,19,-4,1,242,20,1,253,21,1,0,0,1,1,0,266,22,276,22,2,290,24,1,302,25,1,2,0,0,1,1,0,314,26,2,324,26,2,336,28,1,1,0,0,1,1,0,346,28,2,360,30,3,"1","1","1","1","1","1","1","1","1","1","2","11","11","11","11","11","11","11","11","11","12"
"104",105,1,1,8,1983,1,1,1,1,166,13,1,4,0,185,15,0,195,16,0,1,209,17,3,222,18,2,1,0,1,1,0,233,19,243,20,3,256,21,1,269,22,1,1,0,0,1,1,0,282,23,1,291,24,3,303,25,1,2,0,0,1,1,0,314,26,3,327,27,3,"1","2","1","2","1","1","1","2","1","2","2","12","21","12","21","11","11","12","21","12","22"
"106",107,2,2,8,1982,1,1,1,1,174,14,1,4,1,197,16,1,207,17,1,6,221,18,3,232,19,2,0,0,0,1,0,244,20,256,21,4,269,22,5,281,23,1,3,1,0,1,1,0,291,24,3,303,25,3,315,26,1,3,0,0,1,1,0,326,27,3,339,28,2,"3","2","1","2","2","2","2","2","2","2","1","32","21","12","22","22","22","22","22","22","21"
"107",108,1,1,9,1984,1,1,1,1,149,12,1,4,1,172,14,1,182,15,1,6,196,16,6,206,17,3,1,0,1,1,0,219,18,231,19,3,244,20,2,256,21,1,4,0,0,0,1,0,268,22,2,279,23,2,289,24,1,2,0,0,0,1,0,303,25,2,314,26,1,"3","3","2","2","1","2","1","1","1","1","1","33","32","22","21","12","21","11","11","11","11"
"108",109,1,2,3,1982,1,1,1,1,180,14,1,4,1,201,16,1,211,17,0,5,226,18,2,236,19,2,0,0,1,1,0,250,20,260,21,1,272,22,1,285,23,1,1,NA,0,1,1,0,298,24,1,307,25,1,320,26,1,1,0,0,1,NA,NA,332,27,2,345,28,1,"2","1","1","1","1","1","1","1","1","1","1","21","11","11","11","11","11","11","11","11","11"
"109",110,1,2,2,1984,1,1,1,1,157,13,1,4,1,178,14,1,188,15,0,3,203,16,3,213,17,2,0,0,0,1,0,227,18,237,19,2,249,20,2,262,21,1,1,1,0,1,1,0,275,22,1,284,23,2,297,24,1,1,1,0,1,1,0,308,25,2,323,26,2,"2","2","1","1","1","1","1","1","1","1","1","22","21","11","11","11","11","11","11","11","11"
"113",114,1,2,7,1982,1,1,1,1,175,14,1,4,0,198,16,0,208,17,0,2,222,18,1,232,19,1,0,0,1,1,0,245,20,260,21,1,270,22,1,282,23,1,3,1,0,1,1,0,294,24,2,306,25,1,319,26,1,1,0,0,0,1,0,330,27,1,341,28,2,"1","1","1","1","1","2","1","1","1","1","1","11","11","11","11","12","21","11","11","11","11"
"121",122,0,1,6,1984,1,1,1,1,152,12,1,4,1,174,14,1,186,15,1,6,199,16,5,213,17,1,0,0,1,1,0,222,18,233,19,1,249,20,4,259,21,1,1,0,0,1,1,0,269,22,1,280,23,1,292,24,1,2,0,0,NA,0,0,306,25,1,318,26,1,"3","2","1","1","2","1","1","1","1","1","1","32","21","11","12","21","11","11","11","11","11"
