"byear","time","TotalGoers","TotalIrregulars","TotalAbsentees","ProportionGoers","ProportionIrregulars","ProportionAbsentees"
1980,NA,1641,3118,15488,0.0810490443028597,0.153998123178743,0.764952832518398
1981,NA,2284,3534,17598,0.0975401434916296,0.150922446190639,0.751537410317731
1982,NA,2336,3503,18490,0.0960170989354269,0.14398454519298,0.759998355871594
1983,NA,2472,3794,19003,0.0978273774189719,0.150144445763584,0.752028176817444
1984,NA,2542,3727,18669,0.101932793327452,0.149450637581201,0.748616569091347
