"id","byear","time","attend"
23,"1983",2006,4
23,"1983",2007,2
23,"1983",2008,4
23,"1983",2009,1
23,"1983",2010,6
24,"1984",2000,1
24,"1984",2001,1
24,"1984",2002,1
24,"1984",2003,1
24,"1984",2004,2
24,"1984",2005,1
24,"1984",2006,1
24,"1984",2007,1
24,"1984",2008,1
24,"1984",2009,1
24,"1984",2010,1
25,"1983",2000,5
25,"1983",2001,7
25,"1983",2002,7
25,"1983",2003,2
25,"1983",2004,7
25,"1983",2005,5
25,"1983",2006,7
25,"1983",2007,5
25,"1983",2008,7
25,"1983",2009,7
25,"1983",2010,7
26,"1980",2000,1
26,"1980",2001,2
26,"1980",2002,1
26,"1980",2003,1
26,"1980",2004,4
26,"1980",2005,8
26,"1980",2006,1
26,"1980",2007,1
26,"1980",2008,NA
26,"1980",2009,2
26,"1980",2010,1
27,"1981",2000,2
27,"1981",2001,2
27,"1981",2002,2
27,"1981",2003,4
27,"1981",2004,2
27,"1981",2005,1
27,"1981",2006,1
27,"1981",2007,1
27,"1981",2008,1
27,"1981",2009,1
27,"1981",2010,1
28,"1983",2000,6
28,"1983",2001,6
28,"1983",2002,6
28,"1983",2003,6
28,"1983",2004,6
28,"1983",2005,6
28,"1983",2006,6
28,"1983",2007,6
28,"1983",2008,5
28,"1983",2009,2
28,"1983",2010,4
29,"1983",2000,4
29,"1983",2001,NA
29,"1983",2002,NA
29,"1983",2003,NA
29,"1983",2004,NA
29,"1983",2005,NA
29,"1983",2006,NA
29,"1983",2007,NA
29,"1983",2008,NA
29,"1983",2009,NA
29,"1983",2010,NA
30,"1981",2000,NA
30,"1981",2001,NA
30,"1981",2002,NA
30,"1981",2003,NA
30,"1981",2004,NA
30,"1981",2005,NA
30,"1981",2006,NA
30,"1981",2007,NA
30,"1981",2008,NA
30,"1981",2009,NA
30,"1981",2010,NA
31,"1982",2000,2
31,"1982",2001,2
31,"1982",2002,1
31,"1982",2003,2
31,"1982",2004,1
31,"1982",2005,1
31,"1982",2006,NA
31,"1982",2007,2
31,"1982",2008,1
31,"1982",2009,1
31,"1982",2010,1
32,"1981",2000,NA
32,"1981",2001,2
32,"1981",2002,3
32,"1981",2003,4
32,"1981",2004,2
32,"1981",2005,NA
32,"1981",2006,NA
32,"1981",2007,NA
32,"1981",2008,1
32,"1981",2009,1
32,"1981",2010,1
33,"1980",2000,2
33,"1980",2001,3
33,"1980",2002,2
33,"1980",2003,2
33,"1980",2004,2
33,"1980",2005,3
33,"1980",2006,2
33,"1980",2007,3
33,"1980",2008,2
33,"1980",2009,2
33,"1980",2010,2
34,"1984",2000,3
34,"1984",2001,2
34,"1984",2002,2
34,"1984",2003,2
34,"1984",2004,2
34,"1984",2005,2
34,"1984",2006,1
34,"1984",2007,1
34,"1984",2008,1
34,"1984",2009,1
34,"1984",2010,1
35,"1983",2000,1
35,"1983",2001,1
35,"1983",2002,1
35,"1983",2003,1
35,"1983",2004,1
35,"1983",2005,1
35,"1983",2006,1
35,"1983",2007,1
35,"1983",2008,1
35,"1983",2009,1
35,"1983",2010,1
36,"1980",2000,2
36,"1980",2001,2
36,"1980",2002,2
36,"1980",2003,1
36,"1980",2004,1
36,"1980",2005,NA
36,"1980",2006,6
36,"1980",2007,5
36,"1980",2008,3
36,"1980",2009,2
36,"1980",2010,NA
37,"1980",2000,1
37,"1980",2001,1
37,"1980",2002,2
37,"1980",2003,1
