"id","time","attend","age2000","byear"
1,2000,1,19.75,1981
1,2001,6,19.75,1981
1,2002,2,19.75,1981
1,2003,1,19.75,1981
1,2004,1,19.75,1981
1,2005,1,19.75,1981
1,2006,1,19.75,1981
1,2007,1,19.75,1981
1,2008,1,19.75,1981
1,2009,1,19.75,1981
1,2010,1,19.75,1981
4,2000,2,19.1666666666667,1981
4,2001,1,19.1666666666667,1981
4,2002,3,19.1666666666667,1981
4,2003,1,19.1666666666667,1981
4,2004,2,19.1666666666667,1981
4,2005,2,19.1666666666667,1981
4,2006,2,19.1666666666667,1981
4,2007,2,19.1666666666667,1981
4,2008,2,19.1666666666667,1981
4,2009,1,19.1666666666667,1981
4,2010,2,19.1666666666667,1981
5,2000,3,18.8333333333333,1982
5,2001,3,18.8333333333333,1982
5,2002,3,18.8333333333333,1982
5,2003,2,18.8333333333333,1982
5,2004,1,18.8333333333333,1982
5,2005,2,18.8333333333333,1982
5,2006,1,18.8333333333333,1982
5,2007,1,18.8333333333333,1982
5,2008,4,18.8333333333333,1982
5,2009,3,18.8333333333333,1982
5,2010,2,18.8333333333333,1982
6,2000,2,18.0833333333333,1982
6,2001,3,18.0833333333333,1982
6,2002,2,18.0833333333333,1982
6,2003,7,18.0833333333333,1982
6,2004,7,18.0833333333333,1982
6,2005,2,18.0833333333333,1982
6,2006,7,18.0833333333333,1982
6,2007,7,18.0833333333333,1982
6,2008,7,18.0833333333333,1982
6,2009,7,18.0833333333333,1982
6,2010,7,18.0833333333333,1982
11,2000,3,18.5,1982
11,2001,1,18.5,1982
11,2002,2,18.5,1982
11,2003,2,18.5,1982
11,2004,1,18.5,1982
11,2005,1,18.5,1982
11,2006,1,18.5,1982
11,2007,1,18.5,1982
11,2008,1,18.5,1982
11,2009,1,18.5,1982
11,2010,1,18.5,1982
13,2000,2,16.9166666666667,1984
13,2001,1,16.9166666666667,1984
13,2002,1,16.9166666666667,1984
13,2003,1,16.9166666666667,1984
13,2004,1,16.9166666666667,1984
13,2005,1,16.9166666666667,1984
13,2006,1,16.9166666666667,1984
13,2007,2,16.9166666666667,1984
13,2008,1,16.9166666666667,1984
13,2009,1,16.9166666666667,1984
13,2010,1,16.9166666666667,1984
16,2000,1,18.1666666666667,1982
16,2001,3,18.1666666666667,1982
16,2002,5,18.1666666666667,1982
16,2003,1,18.1666666666667,1982
16,2004,1,18.1666666666667,1982
16,2005,1,18.1666666666667,1982
16,2006,3,18.1666666666667,1982
16,2007,1,18.1666666666667,1982
16,2008,2,18.1666666666667,1982
16,2009,1,18.1666666666667,1982
16,2010,2,18.1666666666667,1982
21,2000,1,18.6666666666667,1982
21,2001,2,18.6666666666667,1982
21,2002,2,18.6666666666667,1982
21,2003,1,18.6666666666667,1982
21,2004,1,18.6666666666667,1982
21,2005,1,18.6666666666667,1982
21,2006,1,18.6666666666667,1982
21,2007,2,18.6666666666667,1982
21,2008,2,18.6666666666667,1982
21,2009,1,18.6666666666667,1982
21,2010,2,18.6666666666667,1982
23,2000,1,17.0833333333333,1983
23,2001,5,17.0833333333333,1983
23,2002,3,17.0833333333333,1983
23,2003,5,17.0833333333333,1983
23,2004,2,17.0833333333333,1983
23,2005,2,17.0833333333333,1983
23,2006,4,17.0833333333333,1983
23,2007,2,17.0833333333333,1983
23,2008,4,17.0833333333333,1983
23,2009,1,17.0833333333333,1983
23,2010,6,17.0833333333333,1983
24,2000,1,16.5,1984
24,2001,1,16.5,1984
24,2002,1,16.5,1984
24,2003,1,16.5,1984
24,2004,2,16.5,1984
24,2005,1,16.5,1984
24,2006,1,16.5,1984
24,2007,1,16.5,1984
24,2008,1,16.5,1984
24,2009,1,16.5,1984
24,2010,1,16.5,1984
25,2000,5,17.25,1983
25,2001,7,17.25,1983
25,2002,7,17.25,1983
25,2003,2,17.25,1983
25,2004,7,17.25,1983
25,2005,5,17.25,1983
25,2006,7,17.25,1983
25,2007,5,17.25,1983
25,2008,7,17.25,1983
25,2009,7,17.25,1983
25,2010,7,17.25,1983
27,2000,2,19.4166666666667,1981
27,2001,2,19.4166666666667,1981
27,2002,2,19.4166666666667,1981
27,2003,4,19.4166666666667,1981
27,2004,2,19.4166666666667,1981
27,2005,1,19.4166666666667,1981
27,2006,1,19.4166666666667,1981
27,2007,1,19.4166666666667,1981
27,2008,1,19.4166666666667,1981
27,2009,1,19.4166666666667,1981
27,2010,1,19.4166666666667,1981
28,2000,6,17.9166666666667,1983
28,2001,6,17.9166666666667,1983
28,2002,6,17.9166666666667,1983
28,2003,6,17.9166666666667,1983
28,2004,6,17.9166666666667,1983
28,2005,6,17.9166666666667,1983
28,2006,6,17.9166666666667,1983
28,2007,6,17.9166666666667,1983
28,2008,5,17.9166666666667,1983
28,2009,2,17.9166666666667,1983
28,2010,4,17.9166666666667,1983
33,2000,2,21,1980
33,2001,3,21,1980
33,2002,2,21,1980
33,2003,2,21,1980
33,2004,2,21,1980
33,2005,3,21,1980
33,2006,2,21,1980
33,2007,3,21,1980
33,2008,2,21,1980
33,2009,2,21,1980
33,2010,2,21,1980
34,2000,3,17,1984
34,2001,2,17,1984
34,2002,2,17,1984
34,2003,2,17,1984
34,2004,2,17,1984
34,2005,2,17,1984
34,2006,1,17,1984
34,2007,1,17,1984
34,2008,1,17,1984
34,2009,1,17,1984
34,2010,1,17,1984
35,2000,1,17.0833333333333,1983
35,2001,1,17.0833333333333,1983
35,2002,1,17.0833333333333,1983
35,2003,1,17.0833333333333,1983
35,2004,1,17.0833333333333,1983
35,2005,1,17.0833333333333,1983
