"id","age2000","time","attend"
1,19.75,2000,1
1,19.75,2001,6
1,19.75,2002,2
1,19.75,2003,1
1,19.75,2004,1
1,19.75,2005,1
1,19.75,2006,1
1,19.75,2007,1
1,19.75,2008,1
1,19.75,2009,1
1,19.75,2010,1
4,19.1666666666667,2000,2
4,19.1666666666667,2001,1
4,19.1666666666667,2002,3
4,19.1666666666667,2003,1
4,19.1666666666667,2004,2
4,19.1666666666667,2005,2
4,19.1666666666667,2006,2
4,19.1666666666667,2007,2
4,19.1666666666667,2008,2
4,19.1666666666667,2009,1
4,19.1666666666667,2010,2
5,18.8333333333333,2000,3
5,18.8333333333333,2001,3
5,18.8333333333333,2002,3
5,18.8333333333333,2003,2
5,18.8333333333333,2004,1
5,18.8333333333333,2005,2
5,18.8333333333333,2006,1
5,18.8333333333333,2007,1
5,18.8333333333333,2008,4
5,18.8333333333333,2009,3
5,18.8333333333333,2010,2
6,18.0833333333333,2000,2
6,18.0833333333333,2001,3
6,18.0833333333333,2002,2
6,18.0833333333333,2003,7
6,18.0833333333333,2004,7
6,18.0833333333333,2005,2
6,18.0833333333333,2006,7
6,18.0833333333333,2007,7
6,18.0833333333333,2008,7
6,18.0833333333333,2009,7
6,18.0833333333333,2010,7
11,18.5,2000,3
11,18.5,2001,1
11,18.5,2002,2
11,18.5,2003,2
11,18.5,2004,1
11,18.5,2005,1
11,18.5,2006,1
11,18.5,2007,1
11,18.5,2008,1
11,18.5,2009,1
11,18.5,2010,1
13,16.9166666666667,2000,2
13,16.9166666666667,2001,1
13,16.9166666666667,2002,1
13,16.9166666666667,2003,1
13,16.9166666666667,2004,1
13,16.9166666666667,2005,1
13,16.9166666666667,2006,1
13,16.9166666666667,2007,2
13,16.9166666666667,2008,1
13,16.9166666666667,2009,1
13,16.9166666666667,2010,1
16,18.1666666666667,2000,1
16,18.1666666666667,2001,3
16,18.1666666666667,2002,5
16,18.1666666666667,2003,1
16,18.1666666666667,2004,1
16,18.1666666666667,2005,1
16,18.1666666666667,2006,3
16,18.1666666666667,2007,1
16,18.1666666666667,2008,2
16,18.1666666666667,2009,1
16,18.1666666666667,2010,2
21,18.6666666666667,2000,1
21,18.6666666666667,2001,2
21,18.6666666666667,2002,2
21,18.6666666666667,2003,1
21,18.6666666666667,2004,1
21,18.6666666666667,2005,1
21,18.6666666666667,2006,1
21,18.6666666666667,2007,2
21,18.6666666666667,2008,2
21,18.6666666666667,2009,1
21,18.6666666666667,2010,2
23,17.0833333333333,2000,1
23,17.0833333333333,2001,5
